Outline Level,Id,Name                                            ,Start     ,Finish    ,Duration,% Complete,Predecessors          ,Resources                                                                ,Color        ,Notes                                           
1,1,Phase 0: Project Initiation & Stakeholder Align.,2025-05-05,2025-05-09,5 Day   ,0%,                      ,"PM, Exec Sponsor, Key Stakeholders (Security, Compliance, Cloud Lead)  ",Light Blue   ,(Assuming 3 of 5 days passed by EOD 5/7)        
2,2,Define Project Charter & Scope                  ,2025-05-05,2025-05-09,5 Day   ,0%,                      ,"PM, Compliance/Legal, Security Lead, Cloud Lead                          ",Light Blue   ,                                                
2,3,Secure Executive Buy-in                         ,2025-05-05,2025-05-09,5 Day   ,0%,2 SS                  ,"PM, Exec Sponsor                                                         ",Light Blue   ,"Can start with charter, but needs it to finalize  "
2,4,Form Core Remediation Team                      ,2025-05-05,2025-05-09,5 Day   ,0%,2 SS                  ,"PM, Department Heads                                                     ",Light Blue   ,                                                
2,5,Establish Communication Plan                    ,2025-05-05,2025-05-09,5 Day   ,0%,2 SS                  ,PM                                                                       ,Light Blue   ,                                                
1,6,"Phase 1: Discovery, Awareness & Found. Policy   ",2025-05-12,2025-06-16,25 Day  ,0%,1 FS                  ,                                                                         ,Light Green  ,                                                
2,7,P1.1: Define PHI in Metadata Context            ,2025-05-12,2025-05-16,5 Day   ,0%,2 FS                  ,"Compliance/Legal (Lead), Security Team (1-2), PM                         ",Light Green  ,                                                
2,8,P1.2: Conduct Comprehensive Metadata Audit      ,2025-05-12,2025-06-06,20 Day  ,0%,7 SS                  ,"Cloud/DevOps Team (2-3), Security Team (1-2), PM                         ",Light Green  ,"Can start with initial PHI def, refines as it goes "
2,9,P1.3: Establish Metadata Risk Register          ,2025-05-19,2025-06-13,20 Day  ,0%,8 SS+7d               ,"Security Team (1-2), PM, Compliance (Review)                             ",Light Green  ,Starts after audit begins to collect findings     
2,10,P1.4: Draft Initial PHI-Safe Metadata Policy    ,2025-05-26,2025-06-13,15 Day  ,0%,"7 FS, 8 FS            ","Compliance/Legal (Lead), Security Architect, PM, Cloud Architect         ",Light Green  ,Needs PHI def & initial audit insights          
2,11,P1.5: Foundational Training & Awareness         ,2025-06-02,2025-06-13,10 Day  ,0%,10 FS                 ,"PM, Training Lead, SMEs from Compliance/Security                         ",Light Green  ,Based on drafted policy                         
1,12,Phase 2: Guardrails & Foundational Controls     ,2025-06-09,2025-07-18,30 Day  ,0%,6 FS                  ,                                                                         ,Light Yellow ,                                                
2,13,P2.1: Dev/Test PaC Rules (Audit Mode)           ,2025-06-09,2025-06-27,15 Day  ,0%,10 FS                 ,"Cloud/DevOps Team (1-2 SecDevOps), Security Team (1)                   ",Light Yellow ,Based on Policy                                 
2,14,P2.2: CI/CD Integration (Audit Mode)            ,2025-06-16,2025-07-04,15 Day  ,0%,13 FS                 ,"DevOps Team (1-2), Security Team (Review)                                ",Light Yellow ,After PaC rules are developed                   
2,15,P2.3: Linters & Pre-commit Hooks                ,2025-06-16,2025-07-04,15 Day  ,0%,13 SS                 ,"DevOps Team (1), Security Team (Guidance)                                ",Light Yellow ,Can develop in parallel with PaC integration    
